Language,URL,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features,Abstract
PDA-er,https://esolangs.org/wiki/PDA-er,2021,,push-down automata,implemented,stack-based,languages,PDA-er is an esoteric programming language created by User:Largejamie in March 2021 whose programs create and then run input on a Push-down automaton.
Deskin,https://esolangs.org/wiki/Deskin,,,,unimplemented,,languages,Deskin (Decrement and skip if negative) is an OISC esoteric language designed to use only 1 Argument.
Forest,https://esolangs.org/wiki/Forest,2021,,turing complete,implemented,,languages,Forest is an esolang invented by User:Hakerh400 in 2021.
Nomad,https://esolangs.org/wiki/Nomad,2018,functional paradigm,turing complete,implemented,stack-based,languages,"Nomad is a multi-paradigm language created from 2018 to 2021 with the goal of simplifying modern programming to as few concepts as possible, in order to facilitate complexity in other areas; Specifically, probabilistic programming."
Suptiftam,https://esolangs.org/wiki/Suptiftam,2021,,,unimplemented,cell-based,languages,Suptiftam is an esolang created by User:PythonshellDebugwindow.
Among Us,https://esolangs.org/wiki/Among Us,,,,implemented,stack-based,languages,"Among Us is an esoteric programming language created by User:Zero player rodent. It is based on the popular game known as Among Us. The code is meant to look like conversations that are common in-game. The programs mostly consist of colours followed by the word ""SUS"". ""SUS"" executes the command associated with the colour. The words ""WHO"" and ""WHERE"" are used for loops. The language uses 2 accumulators and a stack for memory. Among Us can store infinitely large numbers, but the ""WHO"" and ""WHERE"" commands will treat a value as if it resets back to 0 after it goes above 255. The ""WHO"" and ""WHERE"" commands also treat a value as if it is set to 255 after going lower than 0."
Grok,https://esolangs.org/wiki/Grok,2021,,,implemented,stack-based,languages; two-dimensional languages,"Grok is a two-dimensional, stack-based language inspired by Befunge, ><>, and the Vim editor. It was invented by User:AarMil42 in 2021."
Birb,https://esolangs.org/wiki/Birb,2021,functional paradigm,turing complete,implemented,stack-based,languages,"Birb is an untyped, purely functional language based on Lambda Calculus and Combinatory Logic."
Brainfuck Assembly Language,https://esolangs.org/wiki/Brainfuck Assembly Language,2020,,turing complete,implemented,graphical output,languages; brainfuck derivatives; low-level,"Brainfuck Assembly Language (BAL) is an assembly language for a theoretically possible Brainfuck Processing Unit (BPU). It is meant to make hardware implementation of brainfuck easier for amateurs, especially on common 8-bit and multiple-of-8-bit components. It translates one-to-one to machine code."
PYSP,https://esolangs.org/wiki/PYSP,2021,,unknown computational class,implemented,,languages; languages,"PYSP (for PYthon String Programming) is a DSL embedded by an unknown user (who later was revealed to be User:RocketRace) in Python, described as 'lisplike'. It seems to have been inspired by such languages as Parenthesis Hell."
Floof,https://esolangs.org/wiki/Floof,2021,functional paradigm,turing complete,implemented,,languages; low-level,"Floof is a minimal functional language comprised entirely of one object type: T ::= T -> T. The exception to this are the reserved functions that take in user input, which has no arguments, and the reserved functions that prints, which has side effects."
Duocentehexaquinquagesimal,https://esolangs.org/wiki/Duocentehexaquinquagesimal,2021,,turing tarpits; turing complete,implemented,cell-based,languages; brainfuck derivatives; brainfuck equivalents; low-level,Not to be confused with 256.
PREG,https://esolangs.org/wiki/PREG,2021,,unknown computational class,unimplemented,,languages,PREG is a register-based programming language.
Мне с тобою так повезло,https://esolangs.org/wiki/Мне с тобою так повезло,2021,functional paradigm,turing complete,implemented,,languages,Мне с тобою так повезло is a functional Turing-complete esoteric programming language invented by User:Hakerh400 in 2021.
Branch,https://esolangs.org/wiki/Branch,2021,,turing tarpits,implemented,,languages,Branch is an esoteric programming language created by User:HyperNeutrino in 2021. It is a Turing tarpit that operates on a binary tree as its memory structure. Its source code is available under the MIT License here. You can also try it online with the online Branch interpreter.
Undocumented,https://esolangs.org/wiki/Undocumented,2021,,turing complete,implemented,,languages,Undocumented is a programming language.
Mierda,https://esolangs.org/wiki/Mierda,,,turing complete; turing tarpits,,,languages; brainfuck derivatives; brainfuck equivalents,Mierda (spanish for Fuck) is a brainfuck  substitution language. Each command is changed to be the Spanish translations of the actions that they produce.
--yay,https://esolangs.org/wiki/--yay,,,,implemented,stack-based,languages,"--yay is a stack-based esoteric programming language created with the goal of creating an esoteric programming language (I know, very impressive, especially for an esoteric programming language). It was made to be an easier-to-use, stack-based version of brainfuck."
Backshar,https://esolangs.org/wiki/Backshar,,object-oriented paradigm,,total; usability unknown; unimplemented,queue-based,languages,"Backshar is a programmable language with actual commands similar to real languages such as C#, C++, JS, Python, and more.
Nothing about it, excluding strings, comments and variable values, use A-Z & 0-9. It's all symbols.
This is the first functional language by  threesodas. Unlike the rest, it actually has IO capability.
You are 100% allowed to create a compiler for this. It'd be appreciated!"
Backshar+,https://esolangs.org/wiki/Backshar+,,object-oriented paradigm,,total; usability unknown; unimplemented,queue-based,languages,"Backshar+, a sequel to Backshar, is a completely symbol-based language. Nothing, unlike Backshar, uses A-Z & 0-9. It was remade like this by  threesodas to be more ""esoteric"". Every single command is the same, except when writing variable names, string names, function names, etc. It uses a combination of symbols to represent the character desired to use."
Backsharp,https://esolangs.org/wiki/Backsharp,,functional paradigm; object-oriented paradigm; declarative paradigm,,,queue-based,languages; high-level,"Read about:
Backshar | Backshar+
Is this page categorized incorrectly? Feel free to fix it!
""I am really out of ideas now. Backsharp is the best I can come up with. Seriously, 'BS#' looks stupid as fuck. What am I doing with my life?"" Threesodas (talk) 22:44, 26 April 2021 (UTC)

Sometimes, we strive for pain. I wanted to simulate that. Here's Backsharp (BS#)."
BALAE,https://esolangs.org/wiki/BALAE,2021,,turing complete,implemented,cell-based,brainfuck derivatives,"Brainfuck Assembly Language Advanced Edition/BALAE (pronounced like Ballet) is a derivative of both BAL (originally developed by Olus2000) and Brainfuck. It adds four new commands, while squashing the original 8 into half the space."
Spacebar,https://esolangs.org/wiki/Spacebar,,,turing complete,implemented,,languages,"Spacebar is an esoteric variant of JavaScript. The Spacebar interpreter first takes your code and adds spaces in random locations. Then it interprets your code as JavaScript. More specifically, by random we mean that for each character in your code there is a 50% chance that a space will be inserted before it. This action is determined independently for each character."
Skinny pig,https://esolangs.org/wiki/Skinny pig,,,,implemented,stack-based,languages,"Skinny pig is an esoteric programming language specifically designed to be used by skinny pigs or guinea pigs. The guinea pig will ""write"" the program by doing the things it normally does, but the observer must take note of the actions taken by the guinea pig and convert each action into code."
Jitejix,https://esolangs.org/wiki/Jitejix,,,,output only; implemented,cell-based; stack-based,languages,"An esolang created for fun.
Pronounciated as [d zh i t e d zh i k s].
Inspired by Brainfuck.
Probably not turing complete, who knows."
FlipJump,https://esolangs.org/wiki/FlipJump,2021,,bounded-storage machine,implemented,,languages; low-level,"FlipJump is a 1-instruction language, intending to be the simplest / most-primitive programming language.
Yet, it can do any modern computation (#The FlipJump Power, #The Standard Library)."
GomorraSQL,https://esolangs.org/wiki/GomorraSQL,2021,declarative paradigm,,implemented,,languages; high-level; thematic,GomorraSQL is an interpreted SQL language that replaces the standard keywords with Neapolitan Language. It's available as a Java library or an executable shell.
FP trivia,https://esolangs.org/wiki/FP trivia,,functional paradigm; object-oriented paradigm,,,,languages,"FP trivia is a pointfree programming language[1][2]  inspired by FP of John Backus, APL, Smalltalk and Lisp. It is intended to remedy the problematic fact that FP[3] is viewed as free of variables,[4][5][6] which is also true in terms of lambda variables, but not in terms of the instance variables that are used by FP trivia.[7] The main data type is therefore a table that the instance variables can access. It should not be forgotten that one motivation for creating FP was the use of an ""Algebra of Programming"".[8][9]"
Fun,https://esolangs.org/wiki/Fun,,,turing complete,,,languages,"Fun is an esoteric dialect of JavaScript, which uses only function calls."
BeeScript,https://esolangs.org/wiki/BeeScript,2021,,unknown computational class,implemented,stack-based,languages; joke languages,BeeScript is a stack-based esoteric programming language made by VilgotanL.
FakeScript,https://esolangs.org/wiki/FakeScript,2021,,finite state automata,implemented; unusable for programming,,languages,FakeScript is an esolang created by User:Viba. The language was meant to be relatively easy to implement for both viba and others who don't know much about programming. FakeScript is quite limited as a result. It was originally written in C#.
Neat,https://esolangs.org/wiki/Neat,,,,implemented; total; unusable for programming,cell-based,languages,Neat is an esolang created by User:HellishBro. It was meant to be a language with no loops.
Eek!,https://esolangs.org/wiki/Eek!,,,turing complete,implemented,stack-based,languages,"Eek! is an esoteric programming language created by User:Zero player rodent that only uses the characters ""E"", ""e"", and ""k""."
BrainIf,https://esolangs.org/wiki/BrainIf,2021,,,implemented,cell-based,languages; joke languages; brainfuck derivatives; low-level,"BrainIf is an esoteric programming language by VilgotanL.
It is similar to brainfuck in that it has an identical memory tape."
Super Mario 64,https://esolangs.org/wiki/Super Mario 64,2021,,,,,languages; joke languages,Super Mario 64 is a joke language where the code is represented by a `.m64` tas file (and maybe a savestate)
Dead,https://esolangs.org/wiki/Dead,2021,,,implemented; total; unusable for programming,cell-based,low-level; languages,"Dead constitutes a cell-based esoteric programming language designed by User:Ilaylevy, using a single character to represent its operations."
PaRappa,https://esolangs.org/wiki/PaRappa,,,,implemented,stack-based,languages,"PaRappa is an esoteric programming language that is based on the rhythm game ""PaRappa The Rapper 2"". The code is meant to look like the gameplay. It is nearly identical to Eek!, the esolang that it is a derivative of."
I-ok,https://esolangs.org/wiki/I-ok,2021,,,usability unknown,,languages,"A small 1 digit esolang, for simple 1 letter usage."
While(true),https://esolangs.org/wiki/While(true),2021,,linear bounded automata,implemented,cell-based,languages; high-level,While(true){ is an esolang written by User:Aonodensetsu over the weekend of 22-23.05.2021 after finding the Truttle1 YouTube channel prior to that.
SF Code,https://esolangs.org/wiki/SF Code,2021,,,implemented,cell-based,languages,"SF Code is a programming language based on using San Fransisco symbols as code.
It was created by Jayden Irwin in 2021."
Goatoo,https://esolangs.org/wiki/Goatoo,2021,,,implemented,stack-based; cell-based,languages; low-level,Goatoo is an esoteric programming language created by User:DynCoder in May 2021. It is especially made for people who hate the goto command. The official interpreter is written in python and published on github under a GPLv3 license.
MultiStacker,https://esolangs.org/wiki/MultiStacker,,,,implemented,stack-based,languages,MultiStacker is an Esoteric programming language created by Aylias
2Swap,https://esolangs.org/wiki/2Swap,2021,,turing_complete; turing_tarpits,implemented,,languages,"2Swap is an esolang by VilgotanL with only two instructions and two unbounded registers, it is based on a two-register Minsky machine."
Flkl,https://esolangs.org/wiki/Flkl,2021,,,implemented,,languages,Flkl is a language made by Salmmanfred in about 3 hours
DeBruijn,https://esolangs.org/wiki/DeBruijn,2021,functional paradigm,turing complete,unimplemented,,languages,"DeBruijn is an esolang created by Andrew Phillips in 2021. It is based on pure, untyped lambda calculus written with De Bruijn indices."
Galveston,https://esolangs.org/wiki/Galveston,2021,,unknown computational class,implemented,,languages,"Galveston is an ω-language over the alphabet Σ = {NULL, v1, v2, ...}.
A program in Galveston is a single ω-word from that language, i.e. a countably infinite sequence made up of symbols from a countably infinite totally-ordered alphabet."
Palette,https://esolangs.org/wiki/Palette,,,,,,languages,Palette is an esoteric programming language created by User:ShanePaton. Palette uses operations based on painting and palettes.
GotoFuck,https://esolangs.org/wiki/GotoFuck,2021,,turing_complete; turing_tarpits,implemented,cell-based,languages; brainfuck_derivatives,"GotoFuck (also known as GotoF, GotoF***) is a brainfuck derivative by VilgotanL, It is identical to brainfuck except that uses a conditional goto instead of the regular while-loop."
Line,https://esolangs.org/wiki/Line,2021,,turing complete,unimplemented,cell-based,languages; two-dimensional languages,Line is a 2d cell-based programming language that is structured on lines and turns.
Channeler,https://esolangs.org/wiki/Channeler,,,,implemented,,languages,Channeler is an esoteric programming language created by User:Doridian. It is based around the idea of messaging channels (essentially function calls).
AEWNN,https://esolangs.org/wiki/AEWNN,2021,,,output only,,languages,AEWNN (or An esolang with no name) is an esolang created by User:ResU in 2021.
NScript,https://esolangs.org/wiki/NScript,,,,implemented,,languages; high-level,"NScript is a basic esoteric language designed to be at least somewhat unique.
NScript has a couple nicknames by the creator: NS, NoahScript
NS has plenty of flexibility and has a somewhat-main focus, which is to allow other people to easily create their own esoteric languages.
It has bits and pieces stolen from python and lua such as print().
It has been worked on for a year at most now, off an on throughout that time."
STACKOMP,https://esolangs.org/wiki/STACKOMP,,,,,,languages,Example STACKOMP program: (logo.sk)
Tech Support Scam,https://esolangs.org/wiki/Tech Support Scam,,,,unimplemented,,joke languages; languages,Tech Support Scam is an esoteric programming language created by User:CatCatDeluxe where it sounds vaguely like you are on a phone call with a tech support scammer.
Nevermind,https://esolangs.org/wiki/Nevermind,2021,,,total; implemented,,languages,"Nevermind is a simplistic programming language made by User:OfficialCraftCGame in 2021. It uses commas (,) to separate arguments. There is no escape character so to add a comma in text, you must substitute the comma with *44. To use a variable as an argument in a function, start the variable with the letter $. To add an integer to another integer, use +. For concatenating string, use double plus signs ++."
Truth Machine (language),https://esolangs.org/wiki/Truth Machine (language),2021,,,unusable for programming,,languages,Truth Machine is an esolang created by User:ResU in 2021.
RAMDISP,https://esolangs.org/wiki/RAMDISP,,functional paradigm,unknown computational class,usability unknown; implemented,,languages,RAMDISP is an esolang made by User:Otesunki (talk).
Jumping True,https://esolangs.org/wiki/Jumping True,2021,,,implemented,,languages,"Jumping True is an esolang created by MathR. Its main particularity is that its conditional statement is based on the truth-machine. It also has jumps, hence its name."
NOTE,https://esolangs.org/wiki/NOTE,2021,,turing complete,unimplemented,,languages,NOTE is an esolang created by User:ResU in 2021. It uses one-based indexing.
OLNMLN,https://esolangs.org/wiki/OLNMLN,,,,implemented,,languages,"OLNMLN or OneLineNoMoreLinesNeeded is a programming language where everything is written in one line! It was written by Grs (talk). It does borrow concepts from other languages (like a stack), but taken as a whole it's different. Originally it was just called OneLine, but that name is already taken up."
FourQueue,https://esolangs.org/wiki/FourQueue,2021,,unknown computational class,implemented; usability unknown,queue-based,languages,"FourQueue is an esoteric programming language made by User:Caenbe. It is supposed to be wildly inconvenient to program in, but (hopefully) not impossible. To that end, it has these features:"
Purl,https://esolangs.org/wiki/Purl,2021,,turing complete,implemented,stack-based,languages; low-level; thematic,"Purl is a stack-based esoteric programming language developed by User:GotCubes. Programs written in Purl called ""Patterns"", since they are designed to mimic knitting patterns. However, Purl patterns may result in rather awkward knitted works."
FolderCode,https://esolangs.org/wiki/FolderCode,2021,,,,,languages,"FolderCode is an esoteric programming language created by Dominicentek. It's main gimmick is that it's written as a folder structure with names being commands. FolderCode compiles into bytecode file called with .fc extension. It's compiler, runtime and interpreter was written in Java."
AHHH,https://esolangs.org/wiki/AHHH,,,turing complete; turing tarpits,implemented,cell-based,brainfuck derivatives; languages; joke languages; low-level,"AHHH (a programming language for the dreadful) is a Turing-complete, cell-based esoteric programming language inspired by the all-consuming dread induced by programming. It was written by Kyle Morgenstein in 2021 to allow for single ""screams"" (""AHHH"" followed by sequences of uppercase and lowercase h's) to be interpreted as runnable code. The language is fairly simple and is based on COW and brainfuck, but with a few additional commands to make computation easier. AHHH has 16 (+2) commands, which are all the capitalization permutations of hhhh to HHHH. The start key is the sequence AHHH. The AHHH language has a memory head (pointer) which can be moved along a tape of memory. There are also two registers that values can be read/written from. Memory cells can be printed to the console. Anything that isn't a command is a comment. Loops can be formed with the HHHH and hhhh commands."
Nu,https://esolangs.org/wiki/Nu,2021,,turing complete; turing tarpits,implemented,,languages,"Nu is an object-oriented Turing tarpit designed by User:Caenbe. Despite its lack of numbers or arithmetic, it can express other Turing tarpits that involve incrementation and dereferencing, such as I/D machine and Three Star Programmer. The name was chosen to be reminiscent of Iota, and also to sound like ""new"", which is the keyword to create an object in C-like languages. Completely by accident, Nu has some similarities with #hell."
RGB4D,https://esolangs.org/wiki/RGB4D,,,,unimplemented,cell-based,languages,RGB4D is a 4d esoteric programming language created by  ProtoByter.
Partitioned,https://esolangs.org/wiki/Partitioned,,,,,,golfing language; languages,"Partitioned is a WIP esoteric programming language created by Sekoia in 2021. The main limitation is ROM as each partition only contains 255 bytes, for both instructions and data.
Every partition shares a single byte at address 0xFF, permitting transmission between partitions. Partitions cycle one after the other, at one instruction per cycle.
A partition is formatted as a 16x16 array of bytes. Each byte is separated by a `,` and whitespace is ignored. As a rule of thumb, addresses are written as hexadecimal, instructions as binary, and data as decimal. Octal is also supported."
Tower,https://esolangs.org/wiki/Tower,2021,,,implemented,,languages,"Tower is an esoteric language meaning it is designed to be fun to use or a headache to program in!
It was created by Sawcce in June of 2021."
A returns a,https://esolangs.org/wiki/A returns a,2021,functional paradigm,turing complete,implemented,,languages,"a{a} (pronounced a returns a) is an esolang that is based on recursion. A function is just a list of cases, and can be defined by itself or inside another function. Functions can also have other functions as inputs and return values. There are no built in ways to do most mathematical functions, and you must instead call a function that does that action. The only inbuilt data type is integers, however functions are easily turned into array like objects."
Qoibl,https://esolangs.org/wiki/Qoibl,2021,,,implemented,,languages; low-level,"Qwerty oriented impractical bicharacter language (Qoibl) is an esoteric programming language created on the 10th of June 2021 by User:Toxinite. Qoibl is quite simple, having only eight instructions and a single list which is 256 variables long, starting at zero."
Column,https://esolangs.org/wiki/Column,2021,,,,,languages,"Column is an esoteric programming language developed by Dominicentek. It's code is executed column by column in a text file, rather than line by line like in a typical programming language."
What's the dog doin?,https://esolangs.org/wiki/What's the dog doin?,2021,,,,,languages; thematic,Content div not found
Godencode,https://esolangs.org/wiki/Godencode,2021,,unknown computational class,,,languages,"Godencode is an esoteric programming language based off of Gödel numbering and encoding created by Plasmath. Every line of code is composed of a single number, and all other characters are ignored (this can be used for commenting). Many programs in Godencode are extremely long/contain very large numbers, so using a calculator is recommended when programming in this language."
NumberPankackes,https://esolangs.org/wiki/NumberPankackes,,,,,,languages,NumberPankackes is a stack-based esoteric programing language.
VBF,https://esolangs.org/wiki/VBF,2021,,turing_complete; turing tarpits,implemented,cell-based,languages; brainfuck_derivatives,VBF is a brainfuck derivative by VilgotanL with some extra instructions for control-flow.
For The Worthy,https://esolangs.org/wiki/For The Worthy,,,,implemented,,languages,"For The Worthy is an esolang which only interprets the '1' and '0' characters, thus enabling programmers to reach their final ""hackerman"" form."
Turkey,https://esolangs.org/wiki/Turkey,2021,,unknown computational class,implemented,,languages,Turkey is a derivative of Chicken. It was created by User:ResU in 2021.
DoFor,https://esolangs.org/wiki/DoFor,,,,implemented,,languages,DoFor is an esoteric programing language.
Py256,https://esolangs.org/wiki/Py256,2021,,turing complete,unimplemented,,languages; golfing language; high-level,Py256 is a golfing language by User:Makonede. It uses Base-256 compression to encode long hexadecimal numbers representing programs. Py256 uses 05AB1E's SBCS for Base-256.
School,https://esolangs.org/wiki/School,2021,,,,matrix-based,languages,"School is an esoteric programming language developed by User:AceKiron, it originally started development on June 15th 2021, but has been deprecated. Later it was continued on September 10th 2021. It's designed to be hard to understand why, just like school."
Tiltedc,https://esolangs.org/wiki/Tiltedc,,,,,,languages,Tiltedc is C but tilted.
Bitbot,https://esolangs.org/wiki/Bitbot,2021,,,unimplemented,cell-based,languages,"Bitbot is an esolang created on the 18th of June, 2021 by User:Toxinite."
Inverted,https://esolangs.org/wiki/Inverted,2021,,,implemented,cell-based,brainfuck derivatives; languages,"Inverted is an esoteric programming language written by Dominicentek in Java. It's code is written line-by-line, and executed from bottom to top. It's very similar to Brainfuck."
Processor.txt,https://esolangs.org/wiki/Processor.txt,2021,,finite state automata,output only; implemented,,languages,"processor.txt was made by Miles Poland, on Friday, June 18, 2021. It is inspired by the RISC style of processors, hence the name. The .txt part is because the original specs were written in a .txt file. It is also somewhat of an Esoteric processor."
Excellerated Short-Term Memory Loss,https://esolangs.org/wiki/Excellerated Short-Term Memory Loss,2021,,linear bounded automata,implemented,cell-based; stack-based,languages; two-dimensional languages; thematic,Excellerated Short-Term Memory Loss (or ESTML) is an esoteric programming language designed and implemented by User:PolySaken. Its goal is to facilitate the most spreadsheet-like program syntax possible.
Enjamb,https://esolangs.org/wiki/Enjamb,2019,,turing complete,implemented,stack-based,languages,Enjamb is an esoteric programming language where it's not what's in your lines that matters — it's where you break them. It was created in 2019 by User:TartanLlama.
Bin-snake,https://esolangs.org/wiki/Bin-snake,,,turing complete,implemented,,languages; high-level,"Bin-snake is a Python wrapper, in Binary. Bin-snake converts a Bin-snake file (.bs) to Python code, and then executes it to Python."
Timers,https://esolangs.org/wiki/Timers,,,,implemented,stack-based,languages,Created by User:Rphii in 2021. Timers is an Esolang that is stack based.
GridJSON,https://esolangs.org/wiki/GridJSON,,,,,,languages,GridJSON is an esoteric language based on JSON as scope/function syntax.
Clart,https://esolangs.org/wiki/Clart,2021,prototype-based paradigm; object-oriented paradigm,turing complete,implemented,,languages; high-level,Clart is an object-oriented mildly esoteric programming language designed and implemented by User:PolySaken.
Mini-Flak,https://esolangs.org/wiki/Mini-Flak,2016,,turing complete,implemented; output only,stack-based,languages; low-level,"Mini-Flak is a derivative/minimisation of Brain-Flak, created in 2016, most likely by User:Wheatwizard."
Blood32,https://esolangs.org/wiki/Blood32,2021,,turing complete,implemented; educational,cell-based,languages; high-level,"Blood32 is a language designed to simulate a Turing machine with terse syntax. 
It is a language designed for experimentation with abstract, low-level computation. Programming in this language is challenging, as it does not feature many of the constructs common to high-level imperative languages, such as functions, variables, and structures."
()s,https://esolangs.org/wiki/()s,2021,,unknown computational class,implemented,,languages,{}s (pronounced: Sets) is an esolang made by User:AmNow.
StackLang,https://esolangs.org/wiki/StackLang,2021,,,implemented,stack-based,languages,StackLang is a Stack-based esoteric programming language made by Dominicentek. StackLang executes it's instructions depending on a value in the stack.
YATDEL,https://esolangs.org/wiki/YATDEL,,,,implemented,stack-based,languages; two-dimensional languages,"YATDEL (Yet Another Two-Dimensional Esoteric Language) is, obviously, a two-dimensional stack-based esoteric language created by User:HecknTarnation. Code is executed starting at an S. The pointer, then, moves right and continues to execute code. This language supports multiple files, called Abstracts."
Pops Are Overrated,https://esolangs.org/wiki/Pops Are Overrated,2021,,turing complete,implemented,stack-based,languages,Pops are overrated or PAO for short is an esolang where there isn't a direct command for popping off the stack. PAO was created by User:AmNow.
WinReg,https://esolangs.org/wiki/WinReg,2021,,,,,,"WinReg is an esoteric programming language created by User:Dominicentek. It's syntax is similar to his other language called FolderCode. Instead of it being a folder structure, it is a tree of keys and values in the Windows Registry."
BitCode/PicCode,https://esolangs.org/wiki/BitCode/PicCode,,,,,,languages,"Bitcode is an image programming language.
It uses pixels in an image as characters for code, unlocking the ability to use a normal image, like one of a sunset, as code.
With advanced programs you might even end up with a rainbow!"
BullScript,https://esolangs.org/wiki/BullScript,,,,total,,languages,"BullScript is a language used for creating libraries for DoFor,"
V++,https://esolangs.org/wiki/V++,2016,functional paradigm; object-oriented paradigm,turing complete,implemented,graphical output,languages; high-level,"V++ is a small programming language made for fun. It is an interpreted, strongly-typed language. It has functions, advanced math and IO support."
"=,-&~","https://esolangs.org/wiki/=,-&~",2021,,turing complete,implemented,stack-based,languages,"=,-&~ is an esolang made by User:AmNow. =,-&~ makes the code look like a lot of dashes."
8,https://esolangs.org/wiki/8,2021,,turing complete,implemented,,languages,8 is an esoteric programming language made by User:AmNow.
!aoQ):,https://esolangs.org/wiki/!aoQ):,2021,,,unimplemented,stack-based,languages; golfing language,!aoQ>: (pronunciation: Not a golfing language) is meant to be a golfing language made by User:AmNow. !aoQ>: tries to take as many ideas from many different languages as possible.
A Slow Language,https://esolangs.org/wiki/A Slow Language,,,,implemented,stack-based,languages; two-dimensional languages,"A Slow Language is a 2D esoteric Fungeoid made for a Truttle1 Esolang Jam. You control a turtle on an infinite grid. And since turtles are slow, it randomly takes 1 to 3 seconds before it moves on to another cell."
Bedroom,https://esolangs.org/wiki/Bedroom,,,,implemented,,languages; thematic,Bedroom is an esolang made by User:AmNow
¢%,https://esolangs.org/wiki/¢%,,,turing complete,,stack-based,languages; low-level,¢% is an esolang made by User:AmNow.
AMiaBF’!?,https://esolangs.org/wiki/AMiaBF’!?,2021,,unknown computational class,implemented,,languages,Content div not found
JBFM7L,https://esolangs.org/wiki/JBFM7L,,,,output only; implemented,cell-based,languages,"JBFM7L - ""Jitejix, But For Masohists 7th Level""."
),https://esolangs.org/wiki/),,,,unimplemented,,languages,) is an esoteric programming language made by User:AmNow.
Knight,https://esolangs.org/wiki/Knight,,,,implemented,,languages; programming languages using polish notation,"Knight is an imperative programming language created by Sampersand in April 2021. It was designed to be easy to write interpreters for, while still being usable. There are over 20 official interpreters."
⫵,https://esolangs.org/wiki/⫵,2021,,,implemented; unusable for programming; output only,,languages,⫵ is a Zero Instruction Set Computer made by User:AmNow.
Common-S3C,https://esolangs.org/wiki/Common-S3C,,,,implemented,,languages,"Every interpreter version of SSSC is written in Python.
Online interpreter. Remember to replace what is in the  read( ) function with your code like:  ""!poop haha;"" or ""=100/;"""
MoveIt,https://esolangs.org/wiki/MoveIt,,,,,,languages,"MoveIt is an esoteric programming language made by User:AmNow, MoveIt moves bytes around, hence the name."
REXS,https://esolangs.org/wiki/REXS,2021,,,implemented; output only,,languages; high-level,REXS is an esoteric programming language created by User:Uellenberg built to simplify reading and writing regular expressions (especially complex ones).
1͏͢,https://esolangs.org/wiki/1͏͢,,,,unimplemented,,languages,"1͏͢ is an esoteric programming language made for the purpose of designing adventure games, made by User:AmNow."
Ascii²,https://esolangs.org/wiki/Ascii²,2021,,,implemented,,languages,"Created by User:Rphii in 2021. Ascii², Ascii2 or AsciiAscii is an Esolang."
Slot,https://esolangs.org/wiki/Slot,2021,,,,,languages,Slot is a one-dimensional esoteric programming language invented in 2021 by User:CarterNotSteve.
RHOVL,https://esolangs.org/wiki/RHOVL,,,turing complete,implemented,,languages,"RHOVL (Register, Heap, One Variable Language) is an esolang created by Andrew Phillips in 2021.
RHOVL is a simplistic imperative language that utilizes 26 variable registers a-z for data storage, a heap for function storage, and a single variable position for manipulating data. All data in RHOVL is u8, although the python implementation does not abide by this."
F²,https://esolangs.org/wiki/F²,2021,,bounded-storage machine,unimplemented,,languages,F² is an esoteric programming language made by User:AmNow. F² resembles Rubik’s cube notation.
BinaryBefunge,https://esolangs.org/wiki/BinaryBefunge,,,push-down automata,implemented,,languages; two-dimensional languages,"BinaryBefunge is an esoteric programming language written by Dominicentek. It's a clone of Befunge. It's like Befunge, but all the characters are represented as binary."
XAH,https://esolangs.org/wiki/XAH,,,,,,languages,prints hello world
GolfScratch,https://esolangs.org/wiki/GolfScratch,,,,implemented,stack-based,languages; golfing language,GolfScratch - language for Code Golfing Made By User:ChuckEsoteric08
IGNORED,https://esolangs.org/wiki/IGNORED,,,,implemented; total; unusable for programming,,joke languages; languages,IGNORED - Esolang made by User:ChuckEsoteric08 That ignores every program!
FlinnScrip,https://esolangs.org/wiki/FlinnScrip,2021,,turing complete,unimplemented,stack-based,languages; high-level,FlinnScrip is a programming language created in 2021 by User:Dtuser1337. The program syntax is inspired by Jug.
Something,https://esolangs.org/wiki/Something,2021,,turing complete; turing tarpits,implemented,cell-based,languages; low-level,Something is a low level programming language created by User:PixelatedStarfish. The only error message in the language is the phrase Oops! Something went wrong!
IG,https://esolangs.org/wiki/IG,,,push-down automata,,,languages; low-level,"IG - Esoteric programing language by ChuckEsoteric08.
Language Named after 2 first commands that has been add."
Focal-2D,https://esolangs.org/wiki/Focal-2D,,,,,,languages; two-dimensional languages,Focal-2D programming language.
Boxes,https://esolangs.org/wiki/Boxes,,,,implemented,stack-based,languages,Boxes is an esoteric programming language created by User:Dominicentek. It's code is stored in several boxes which can be put anywhere in the source code.
NUMBRS++,https://esolangs.org/wiki/NUMBRS++,,,,implemented,,languages; two-dimensional languages,NUMBRS - Two-dimensional made in Scratch esolang by ChuckEsoteric08.
DotSF,https://esolangs.org/wiki/DotSF,2021,,unknown computational class,implemented,stack-based,languages; low-level,"DotSF is a stack based esoteric programming language created by user:ArthroStar11 that was heavily inspired by brainfuck, Befunge, with a few elements derived from Intercal."
INF)xO,https://esolangs.org/wiki/INF)xO,2021,,turing complete,unimplemented,,languages,INF>xO is an esoteric programming language made by User:AmNow. INF>xO was made so that you can have infinite output without loops.
